id,name,department,type,start,end,progress
div1-1,Develop core system architecture and module interfaces,division1,task,2026-08-04,2026-08-09,35
div1-2,Microcontroller low-level driver development,division1,task,2026-08-05,2026-08-14,40
div1-3,State estimation filter and math model validation,division1,task,2026-08-05,2026-08-18,25
div1-4,Frontend telemetry dashboard and control UI,division1,task,2026-08-06,2026-08-19,30
div1-5,Backend event streaming and telemetry server,division1,task,2026-08-07,2026-08-20,20
div1-6,Automated testing pipeline and firmware verification,division1,task,2026-08-08,2026-08-22,15
div2-1,Structural chassis CAD modeling and finite element analysis,division2,task,2026-08-04,2026-08-10,45
div2-2,Enclosure dimensioning and thermal dissipation analysis,division2,task,2026-08-04,2026-08-12,30
div2-3,Actuation and mechanical release mechanism fabrication,division2,task,2026-08-05,2026-08-15,20
div2-4,Aerodynamic shell profiling and wind tunnel simulation,division2,task,2026-08-05,2026-08-18,25
div2-5,Dampening and impact absorption system validation,division2,task,2026-08-06,2026-08-19,10
div2-6,Modular payload integration and mounting assembly,division2,task,2026-08-08,2026-08-21,15
div3-1,Power distribution network and battery management circuit,division3,task,2026-08-04,2026-08-12,40
div3-2,Multi-layer PCB schematics and routing layout,division3,task,2026-08-05,2026-08-17,30
div3-3,RF transceiver matching network and antenna tuning,division3,task,2026-08-06,2026-08-19,25
div3-4,Precision sensor acquisition and signal conditioning,division3,task,2026-08-06,2026-08-20,20
div3-5,EMI/EMC shielding and environmental stress screening,division3,task,2026-08-08,2026-08-22,10
div4-1,System requirement analysis and technical roadmap,division4,task,2026-08-04,2026-08-08,60
div4-2,Preliminary Design Review (PDR) synthesis,division4,task,2026-08-05,2026-08-14,50
div4-3,Cross-division budget and component resource allocation,division4,task,2026-08-05,2026-08-16,40
div4-4,Quality assurance, safety standards, and risk matrix,division4,task,2026-08-06,2026-08-18,30
div4-5,Critical Design Review (CDR) compilation,division4,task,2026-08-08,2026-08-23,15
